# quill eval corpus — FROZEN. Regenerate only with rig/fetch_corpus.sh --refreeze.
# source: LibriSpeech test-clean (CC BY 4.0) — openslr.org/12
# selection: word count in [12,35], round-robin one-per-speaker, sorted by utterance id
clip_id	speaker	source_rel	words	duration_s	ground_truth
1089-134686-0000	1089	audio/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac	28	10.435	HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE
1089-134686-0002	1089	audio/LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac	18	6.625	AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS
1188-133604-0000	1188	audio/LibriSpeech/test-clean/1188/133604/1188-133604-0000.flac	19	10.725	YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITIAN HOLBEIN TURNER AND TINTORET IN ALMOST THE SAME TERMS
1188-133604-0001	1188	audio/LibriSpeech/test-clean/1188/133604/1188-133604-0001.flac	18	9.040	THEY UNITE EVERY QUALITY AND SOMETIMES YOU WILL FIND ME REFERRING TO THEM AS COLORISTS SOMETIMES AS CHIAROSCURISTS
121-121726-0000	121	audio/LibriSpeech/test-clean/121/121726/121-121726-0000.flac	17	8.460	ALSO A POPULAR CONTRIVANCE WHEREBY LOVE MAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICNIC SEASON
121-121726-0003	121	audio/LibriSpeech/test-clean/121/121726/121-121726-0003.flac	14	6.755	HAY FEVER A HEART TROUBLE CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW
1221-135766-0003	1221	audio/LibriSpeech/test-clean/1221/135766/1221-135766-0003.flac	35	13.720	THE CHILD HAD A NATIVE GRACE WHICH DOES NOT INVARIABLY CO EXIST WITH FAULTLESS BEAUTY ITS ATTIRE HOWEVER SIMPLE ALWAYS IMPRESSED THE BEHOLDER AS IF IT WERE THE VERY GARB THAT PRECISELY BECAME IT BEST
1221-135766-0004	1221	audio/LibriSpeech/test-clean/1221/135766/1221-135766-0004.flac	18	7.440	THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE
1284-1180-0000	1284	audio/LibriSpeech/test-clean/1284/1180/1284-1180-0000.flac	24	8.120	HE WORE BLUE SILK STOCKINGS BLUE KNEE PANTS WITH GOLD BUCKLES A BLUE RUFFLED WAIST AND A JACKET OF BRIGHT BLUE BRAIDED WITH GOLD
1284-1180-0001	1284	audio/LibriSpeech/test-clean/1284/1180/1284-1180-0001.flac	26	7.755	HIS HAT HAD A PEAKED CROWN AND A FLAT BRIM AND AROUND THE BRIM WAS A ROW OF TINY GOLDEN BELLS THAT TINKLED WHEN HE MOVED
1320-122612-0001	1320	audio/LibriSpeech/test-clean/1320/122612/1320-122612-0001.flac	30	9.520	THE DEWS WERE SUFFERED TO EXHALE AND THE SUN HAD DISPERSED THE MISTS AND WAS SHEDDING A STRONG AND CLEAR LIGHT IN THE FOREST WHEN THE TRAVELERS RESUMED THEIR JOURNEY
1580-141083-0000	1580	audio/LibriSpeech/test-clean/1580/141083/1580-141083-0000.flac	30	8.940	I WILL ENDEAVOUR IN MY STATEMENT TO AVOID SUCH TERMS AS WOULD SERVE TO LIMIT THE EVENTS TO ANY PARTICULAR PLACE OR GIVE A CLUE AS TO THE PEOPLE CONCERNED
1995-1826-0000	1995	audio/LibriSpeech/test-clean/1995/1826/1995-1826-0000.flac	27	9.485	IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REASONING BUT DELIVERED WITH REAL ENTHUSIASM
2094-142345-0001	2094	audio/LibriSpeech/test-clean/2094/142345/2094-142345-0001.flac	21	8.030	BUT THE WINDOWS ARE PATCHED WITH WOODEN PANES AND THE DOOR I THINK IS LIKE THE GATE IT IS NEVER OPENED
2300-131720-0000	2300	audio/LibriSpeech/test-clean/2300/131720/2300-131720-0000.flac	13	5.080	THE PARIS PLANT LIKE THAT AT THE CRYSTAL PALACE WAS A TEMPORARY EXHIBIT
237-126133-0002	237	audio/LibriSpeech/test-clean/237/126133/237-126133-0002.flac	30	8.920	THEN DEAR SAID MISSUS WHITNEY YOU MUST BE KINDER TO HER THAN EVER THINK WHAT IT WOULD BE FOR ONE OF YOU TO BE AWAY FROM HOME EVEN AMONG FRIENDS
237-126133-0003	237	audio/LibriSpeech/test-clean/237/126133/237-126133-0003.flac	24	6.560	SOMEHOW OF ALL THE DAYS WHEN THE HOME FEELING WAS THE STRONGEST THIS DAY IT SEEMED AS IF SHE COULD BEAR IT NO LONGER
260-123286-0000	260	audio/LibriSpeech/test-clean/260/123286/260-123286-0000.flac	12	7.040	SATURDAY AUGUST FIFTEENTH THE SEA UNBROKEN ALL ROUND NO LAND IN SIGHT
260-123286-0002	260	audio/LibriSpeech/test-clean/260/123286/260-123286-0002.flac	29	9.985	ALL MY DANGER AND SUFFERINGS WERE NEEDED TO STRIKE A SPARK OF HUMAN FEELING OUT OF HIM BUT NOW THAT I AM WELL HIS NATURE HAS RESUMED ITS SWAY
2830-3979-0000	2830	audio/LibriSpeech/test-clean/2830/3979/2830-3979-0000.flac	21	6.120	WE WANT YOU TO HELP US PUBLISH SOME LEADING WORK OF LUTHER'S FOR THE GENERAL AMERICAN MARKET WILL YOU DO IT
2961-960-0001	2961	audio/LibriSpeech/test-clean/2961/960/2961-960-0001.flac	15	8.250	THE INFLUENCE WITH THE TIMAEUS HAS EXERCISED UPON POSTERITY IS DUE PARTLY TO A MISUNDERSTANDING
3570-5694-0001	3570	audio/LibriSpeech/test-clean/3570/5694/3570-5694-0001.flac	17	5.675	THE UTILITY OF CONSUMPTION AS AN EVIDENCE OF WEALTH IS TO BE CLASSED AS A DERIVATIVE GROWTH
3575-170457-0000	3575	audio/LibriSpeech/test-clean/3575/170457/3575-170457-0000.flac	25	8.230	AND OFTEN HAS MY MOTHER SAID WHILE ON HER LAP I LAID MY HEAD SHE FEARED FOR TIME I WAS NOT MADE BUT FOR ETERNITY
3729-6852-0000	3729	audio/LibriSpeech/test-clean/3729/6852/3729-6852-0000.flac	32	11.170	TO CELEBRATE THE ARRIVAL OF HER SON SILVIA GAVE A SPLENDID SUPPER TO WHICH SHE HAD INVITED ALL HER RELATIVES AND IT WAS A GOOD OPPORTUNITY FOR ME TO MAKE THEIR ACQUAINTANCE
4077-13751-0000	4077	audio/LibriSpeech/test-clean/4077/13751/4077-13751-0000.flac	26	9.560	ON THE SIXTH OF APRIL EIGHTEEN THIRTY THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS WAS FORMALLY ORGANIZED AND THUS TOOK ON A LEGAL EXISTENCE
4446-2271-0001	4446	audio/LibriSpeech/test-clean/4446/2271/4446-2271-0001.flac	19	6.350	HE HAD PRECONCEIVED IDEAS ABOUT EVERYTHING AND HIS IDEA ABOUT AMERICANS WAS THAT THEY SHOULD BE ENGINEERS OR MECHANICS
4507-16021-0001	4507	audio/LibriSpeech/test-clean/4507/16021/4507-16021-0001.flac	20	11.320	IT ENGENDERS A WHOLE WORLD LA PEGRE FOR WHICH READ THEFT AND A HELL LA PEGRENNE FOR WHICH READ HUNGER
4970-29093-0001	4970	audio/LibriSpeech/test-clean/4970/29093/4970-29093-0001.flac	29	11.920	TO THE YOUNG AMERICAN HERE OR ELSEWHERE THE PATHS TO FORTUNE ARE INNUMERABLE AND ALL OPEN THERE IS INVITATION IN THE AIR AND SUCCESS IN ALL HIS WIDE HORIZON
4992-23283-0000	4992	audio/LibriSpeech/test-clean/4992/23283/4992-23283-0000.flac	18	6.645	BUT THE MORE FORGETFULNESS HAD THEN PREVAILED THE MORE POWERFUL WAS THE FORCE OF REMEMBRANCE WHEN SHE AWOKE
5105-28233-0001	5105	audio/LibriSpeech/test-clean/5105/28233/5105-28233-0001.flac	13	4.490	HE SEEMED BORN TO PLEASE WITHOUT BEING CONSCIOUS OF THE POWER HE POSSESSED
5142-33396-0001	5142	audio/LibriSpeech/test-clean/5142/33396/5142-33396-0001.flac	15	5.020	WHAT IS YOUR COUNTRY OLAF HAVE YOU ALWAYS BEEN A THRALL THE THRALL'S EYES FLASHED
